translation_id,target,category,event_count
butcher_lang_1879,ACHAEANS,moral_evaluation,2
butcher_lang_1879,ACHAEANS,scale_intensity,7
butcher_lang_1879,ACHILLES,color_hue,2
butcher_lang_1879,ACHILLES,moral_evaluation,4
butcher_lang_1879,ACHILLES,scale_intensity,4
butcher_lang_1879,AEGISTHUS,cognitive_evaluation,6
butcher_lang_1879,AEGISTHUS,color_material,2
butcher_lang_1879,AEGISTHUS,moral_evaluation,3
butcher_lang_1879,AGAMEMNON,appearance_age,3
butcher_lang_1879,AGAMEMNON,scale_intensity,2
butcher_lang_1879,AJAX,moral_evaluation,3
butcher_lang_1879,ALCINOUS,appearance_age,6
butcher_lang_1879,ALCINOUS,cognitive_evaluation,4
butcher_lang_1879,ALCINOUS,color_hue,2
butcher_lang_1879,ALCINOUS,color_material,9
butcher_lang_1879,ALCINOUS,luminosity,2
butcher_lang_1879,ALCINOUS,moral_evaluation,13
butcher_lang_1879,ALCINOUS,scale_intensity,20
butcher_lang_1879,ANGER,moral_evaluation,4
butcher_lang_1879,ANTINOUS,affect_state,3
butcher_lang_1879,ANTINOUS,appearance_age,5
butcher_lang_1879,ANTINOUS,cognitive_evaluation,3
butcher_lang_1879,ANTINOUS,color_hue,2
butcher_lang_1879,ANTINOUS,color_material,2
butcher_lang_1879,ANTINOUS,moral_evaluation,8
butcher_lang_1879,ANTINOUS,scale_intensity,4
butcher_lang_1879,ANTINOUS,social_status,3
butcher_lang_1879,ARETE,appearance_age,2
butcher_lang_1879,ARETE,color_hue,4
butcher_lang_1879,ATHENA,affect_state,3
butcher_lang_1879,ATHENA,agency_capacity,4
butcher_lang_1879,ATHENA,appearance_age,15
butcher_lang_1879,ATHENA,cognitive_evaluation,2
butcher_lang_1879,ATHENA,color_complex,50
butcher_lang_1879,ATHENA,color_hue,4
butcher_lang_1879,ATHENA,color_material,7
butcher_lang_1879,ATHENA,luminosity,2
butcher_lang_1879,ATHENA,moral_evaluation,10
butcher_lang_1879,ATHENA,scale_intensity,15
butcher_lang_1879,BLOOD,color_hue,11
butcher_lang_1879,BLOOD,moral_evaluation,2
butcher_lang_1879,BOW,appearance_age,3
butcher_lang_1879,BOW,color_material,4
butcher_lang_1879,BOW,scale_intensity,8
butcher_lang_1879,CALYPSO,appearance_age,8
butcher_lang_1879,CALYPSO,color_material,2
butcher_lang_1879,CALYPSO,scale_intensity,2
butcher_lang_1879,CIRCE,agency_capacity,2
